cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any mutation (gene_pathways),none,KRAS_12A,Cell_Cycle,non-small cell lung cancer,78,467,"beta[1,4]",0.571,0.008,0.276,0.01,0.097,0.398,0.577,0.758,1.006,1.081,1236.374,0.999,NA,2.067,1.41,3151,62,451,16,3680,3.709,1.27,0.91,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,78,1166,"beta[1,4]",0.285,0.006,0.235,-0.191,-0.086,0.129,0.285,0.446,0.663,0.726,1371.251,1.001,NA,1.214,0.65,2466,48,1136,30,3680,1.386,0.62,0.45,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,78,471,"beta[1,4]",0.29,0.008,0.307,-0.32,-0.226,0.091,0.298,0.495,0.813,0.904,1484.342,1,NA,0.946,0.46,3144,65,458,13,3680,0.743,0.41,0.37,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,wnt,non-small cell lung cancer,78,378,"beta[1,4]",0.318,0.009,0.333,-0.363,-0.248,0.11,0.319,0.547,0.855,0.965,1449.219,1.002,NA,0.955,0.47,3235,67,367,11,3680,0.88,0.46,0.37,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,DDR,non-small cell lung cancer,78,752,"beta[1,4]",0.661,0.007,0.25,0.157,0.232,0.505,0.672,0.819,1.058,1.133,1380.354,0.999,NA,2.647,2.09,2876,52,726,26,3680,7.364,2.18,1.52,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,78,1814,"beta[1,4]",-0.689,0.007,0.246,-1.188,-1.107,-0.857,-0.686,-0.517,-0.302,-0.212,1306.94,1.004,NA,-2.796,2.29,1814,52,1788,26,3680,7.482,2.21,1.52,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,78,608,"beta[1,4]",-0.601,0.012,0.386,-1.407,-1.265,-0.855,-0.581,-0.337,0.001,0.111,1105.159,1,NA,-1.557,0.92,3002,70,600,8,3680,1.828,0.75,0.5,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,PI3K_AKT,non-small cell lung cancer,78,394,"beta[1,4]",0.301,0.021,0.359,-0.432,-0.301,0.081,0.307,0.525,0.888,1.048,306.808,1.008,NA,0.838,0.4,3219,67,383,11,3680,0.633,0.37,0.37,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,78,626,"beta[1,4]",0.584,0.007,0.25,0.072,0.171,0.417,0.59,0.757,0.987,1.041,1115.037,1.001,NA,2.335,1.71,2997,57,605,21,3680,4.852,1.56,1.08,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,Cell_Cycle,non-small cell lung cancer,391,467,"beta[1,4]",0.181,0.004,0.147,-0.112,-0.068,0.086,0.187,0.278,0.419,0.457,1223.641,1.001,NA,1.232,0.66,2879,334,410,57,3680,1.223,0.57,0.46,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,391,1166,"beta[1,4]",0.951,0.004,0.108,0.738,0.772,0.88,0.948,1.024,1.127,1.162,617.868,1.001,NA,8.818,10.99,2325,189,964,202,3680,79.635,18.35,17.87,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,391,471,"beta[1,4]",0.885,0.004,0.13,0.631,0.668,0.801,0.881,0.972,1.106,1.142,1266.102,1.002,NA,6.803,10.99,2912,297,377,94,3680,48.419,11.46,11.11,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,wnt,non-small cell lung cancer,391,378,"beta[1,4]",0.264,0.006,0.165,-0.064,-0.012,0.157,0.277,0.376,0.524,0.579,718.887,1.003,NA,1.597,0.96,2961,341,328,50,3680,2.707,1,0.82,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,DDR,non-small cell lung cancer,391,752,"beta[1,4]",0.992,0.003,0.112,0.771,0.804,0.914,0.998,1.069,1.165,1.205,1058.281,1.001,NA,8.835,10.99,2685,243,604,148,3680,80.428,18.52,17.87,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,391,1814,"beta[1,4]",0.078,0.006,0.114,-0.131,-0.101,-0.001,0.075,0.149,0.277,0.316,388.457,1.006,NA,0.687,0.31,1674,192,1615,199,3680,0.38,0.27,0.27,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,391,608,"beta[1,4]",0.105,0.004,0.139,-0.173,-0.123,0.012,0.106,0.196,0.337,0.372,1281.287,0.999,NA,0.752,0.34,2751,321,538,70,3680,0.498,0.32,0.27,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,PI3K_AKT,non-small cell lung cancer,391,394,"beta[1,4]",0.371,0.004,0.158,0.054,0.105,0.27,0.372,0.477,0.634,0.682,1268.012,1.001,NA,2.353,1.73,2951,335,338,56,3680,5.567,1.74,1.48,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,STK11_KEAP1,non-small cell lung cancer,391,626,"beta[1,4]",1.14,0.003,0.117,0.92,0.955,1.061,1.138,1.221,1.333,1.368,1472.664,1,NA,9.717,10.99,2801,253,488,138,3680,102.146,23.29,22.33,TRUE,3.21,3.21
